"ID","区分","機種名","型式名","慣用名","短縮名","メーカー","内規","カテゴリー","型式番号","導入開始日","スマート","遊タイム","有効"
"10420","P","eAぷらねっとアポロGO","eAぷらねっとアポロGO2-X",,"eAぷらねっとアポロGO","豊丸",,"甘デジ","510903","2026/2/2","1","1","1"
"10419","P","P 俺の妹がこんなに可愛いわけがない。攻略!!スキップ159ver.","P俺の妹がこんなに可愛いわけがない。攻略スキップ159verM6",,"俺妹 159ver.","京楽",,"ライトミドル","5P0896","2026/2/2","0","0","1"
"10418","S","Lアクダマドライブ","LアクダマドライブTP",,"Lアクダマドライブ","サンスリー","6.5号機","AT","530756","2026/4/6","1","0","1"
"10417","P","P戦国乙女7 終焉の関ヶ原 99ver.","P戦国乙女7L0YU1",,"戦国乙女7 99ver.","アムテックス",,"甘デジ","5P0670","2026/3/2","0","0","1"
"10416","P","P冴えない彼女の育てかた 99ver.","P/冴えない彼女の育てかた/A01",,"冴えカノ 99ver.","大都技研",,"甘デジ","5P0172","2026/2/2","0","0","1"
"10415","S","Lパチスロ 炎炎ノ消防隊2","L炎炎ノ消防隊2",,"L炎炎ノ消防隊2","SANKYO","6.5号機","AT","530634","2026/2/2","1","0","1"
"10414","S","スマスロ ゴブリンスレイヤーII","LゴブリンスレイヤーII JZ",,"LゴブスレII","JFJ","6.5号機","AT","530709","2026/2/2","1","0","1"
"10413","P","eアクダマドライブ","eアクダマドライブEHLT",,"eアクダマドライブ","三洋物産",,"ミドル","510887","2026/3/2","1","0","1"
"10412","P","P ゴジラ対エヴァンゲリオン2 超デカシルバー","Pゴジラ対エヴァンゲリオン2LV",,"ゴジエヴァ2超デカシルバー","ビスティ",,"ライトミドル","5P1168","2026/1/5","0","0","1"
"10411","P","e ゴジラ対エヴァンゲリオン2 超デカゴールド","eゴジラ対エヴァンゲリオン2TR",,"eゴジエヴァ2超デカゴールド","ビスティ",,"ミドル","510468","2026/1/5","1","0","1"
"10410","P","e異世界でチート能力を手にした俺は現実世界をも無双する ～レベルアップは人生を変えた～","eいせれべFSZ",,"eいせれべ","藤商事",,"ライトミドル","510549","2026/2/2","1","0","1"
"10409","P","e ULTRAMAN 4500 超ライト","eULTRAMAN-111verK4",,"e ULTRAMAN 111ver.","オッケー.",,"甘デジ","5P1148","2026/1/19","1","0","1"
"10408","P","P閃乱カグラ 189大入りver.","P閃乱カグラLTN-FS",,"閃乱カグラ 189大入りver.","D-light",,"ライトミドル","510677","2026/1/19","0","0","1"
"10407","P","eFダンベル何キロ持てる?2","eフィーバーダンベル何キロ持てる?2F",,"eダン持て2","SANKYO",,"ライトミドル","5P1254","2026/3/2","1","0","1"
"10406","P","Pリングにかけろ1 129ver.","Pリングにかけろ1LM",,"リンかけ1 129ver.","ニューギン",,"ライトミドル","5P0704","2026/1/5","0","0","1"
"10405","S","スマスロ サンダーV","LB/スマスロサンダーVHA",,"LサンダーV","エレコ","6.5号機","A","5S0895","2026/3/2","1","0","1"
"10404","P","Pえとたま2 神祭 干支甘","Pえとたま2SE",,"えとたま2","メーシー",,"甘デジ","4P1727","2026/3/16","0","0","1"
"10403","P","P黄門ちゃま寿限無 99ver.","P黄門ちゃま9AD2",,"黄門ちゃま寿限無 99ver.","平和",,"甘デジ","5P0569","2026/2/2","0","0","1"
"10402","P","P黄門ちゃま寿限無 LLサイズ 259ver.","P黄門ちゃま9ME2",,"黄門ちゃま寿限無 259ver.","平和",,"ライトミドル","5P1014","2026/2/2","0","0","1"
"10401","S","L範馬刃牙","L範馬刃牙L5",,"L範馬刃牙","オリンピア","6.5号機","AT","5S1472","2026/2/2","1","0","1"
"10400","P","e 甲鉄城のカバネリ2 咲かせや燦然","e甲鉄城のカバネリ2GFEA",,"eカバネリ2","サミー",,"ミドル","510891","2026/3/2","1","0","1"
"10399","S","スマスロ 甲鉄城のカバネリ 海門決戦","L 甲鉄城のカバネリ 海門決戦 XX",,"Lカバネリ","サミー","6.5号機","AT","5S1358","2026/3/2","1","0","1"
"10398","P","e ソードアート・オンライン 閃光の軌跡 99Ver.","eソードアート・オンライン~閃光の軌跡~99Ver.K1",,"eSAO 99Ver.","京楽",,"甘デジ","4P1693","2026/1/5","1","0","1"
"10397","P","P【超甘LT】華牌RR 1/49×99de遊タイム","P超甘LT華牌RRAX5",,"LT華牌","豊丸",,"甘デジ","510726","2026/1/5","0","1","1"
"10396","P","e吉宗 極乗3000ver.","e/吉宗極乗3000ver/L06",,"e吉宗 3000ver.","大都技研",,"ライトミドル","510666","2026/1/5","1","0","1"
"10395","S","L 無職転生 ～異世界行ったら本気だす～","L無職転生~異世界行ったら本気だす~NM",,"L無職転生","ニューギン","6.5号機","AT","5S1064","2025/12/22","1","0","1"
"10394","P","eようこそ実力至上主義の教室へ","eようこそ実力至上主義の教室へMA",,"eよう実","サンセイR&D",,"ミドル","510728","2026/1/5","1","0","1"
"10393","P","e範馬刃牙 199ver.","eバキ2LBM4",,"eバキ2","アムテックス",,"ライトミドル","510625","2026/1/19","1","0","1"
"10392","S","スマスロ 攻殻機動隊","L スマスロ攻殻機動隊 ZS",,"L攻殻機動隊","サミー","6.5号機","AT","5S1282","2026/2/2","1","0","1"
"10391","S","スマスロ ハナビ","L/ハナビ/KM",,"Lハナビ","アクロス","6.5号機","RT","530543","2026/2/2","1","0","1"
"10390","S","スマスロ 秘宝伝","L/スマスロ秘宝伝/PA7",,"L秘宝伝","パオン・ディーピー","6.5号機","AT","5S0926","2025/12/22","1","0","1"
"10389","P","PA野生の王国6","PA野生の王国6N2",,"野生の王国6","ニューギン",,"甘デジ","510406","2025/12/8","0","1","1"
"10388","P","e 真・北斗無双 第5章 夢幻闘双","e真北斗無双5夢幻闘双SCEA",,"e真・北斗無双 第5章","サミー",,"ライトミドル","510595","2026/2/2","1","0","1"
"10387","S","Lパチスロうみねこのなく頃に2","Lうみねこのなく頃に2A1",,"Lうみねこ2","オーイズミ","6.5号機","ART","530674","2026/2/2","1","0","1"
"10386","P","e アズールレーン2 THE ANIMATION 超次元","eアズールレーンTHE ANIMATION2K6",,"eアズールレーン2","京楽",,"ライトミドル","5P0983","2025/12/8","1","0","1"
"10385","P","eF BASTARD!! -暗黒の破壊神-","eフィーバーバスタードG",,"eBASTARD!!","SANKYO",,"その他","510640","2026/2/2","1","0","1"
"10384","P","e地獄少女 7500Ver.","e地獄少女7500Ver.RHZ",,"e地獄少女 7500Ver.","オレンジ",,"その他","510656","2025/12/8","1","0","1"
"10383","S","L不二子BT","LB不二子M2",,"L不二子BT","アムテックス","6.5号機","A","5S1046","2025/12/22","1","0","1"
"10382","P","PA清流物語4 ウキウキ79ver.","PA清流物語4HBB",,"清流物語4 79ver.","サンスリー",,"甘デジ","510662","2026/1/5","0","0","1"
"10381","P","PFうたわれるもの LT-Light ver.","PAフィーバーうたわれるものY",,"うたわれるもの LT-Light","SANKYO",,"甘デジ","5P0353","2026/1/5","0","0","1"
"10380","P","PF彼女、お借りします LT-Light ver.","Pフィーバー彼女、お借りしますLR",,"彼女、お借りします LT-Light","SANKYO",,"ライトミドル","5P0526","2026/1/5","0","0","1"
